493: 산업용재관 | Type: 상설장 | Addr: 대구광역시 북구 유통단지로 16 | Lat/Lon: 35.90497291,128.6063945 | Cycle: 매일
494: 섬유제품관 | Type: 상설장 | Addr: 대구광역시 북구 유통단지로 60 | Lat/Lon: 35.90628079,128.6096663 | Cycle: 매일
495: 전기재료관 | Type: 상설장 | Addr: 대구광역시 북구 유통단지로 38 | Lat/Lon: 35.90506337,128.6077144 | Cycle: 매일
496: 전자관 | Type: 상설장 | Addr: 대구광역시 북구 유통단지로 45 | Lat/Lon: 35.90720316,128.6070266 | Cycle: 매일
497: 전자상가 | Type: 상설장 | Addr: 대구광역시 북구 유통단지로 25 | Lat/Lon: 35.90545132,128.6049864 | Cycle: 매일
499: 봉평전통시장(봉평시장) | Type: 상설장 | Addr: 강원특별자치도 평창군 봉평면 허생원장터길15 | Lat/Lon: 37.61558646,128.3772728 | Cycle: 2일+7일
526: 성서보성화성상가 | Type: 상설장 | Addr: 대구광역시 달서구 계대동문로 99 | Lat/Lon: 35.85566206,128.5041129 | Cycle: 매일
571: 보성은하상가 | Type: 상설장 | Addr: 대구광역시 달서구 월곡로 320 | Lat/Lon: 35.82357763,128.5342978 | Cycle: 매일
572: 상인영남화성상가 | Type: 상설장 | Addr: 대구광역시 달서구 상인서로 76 | Lat/Lon: 35.81651479,128.5425742 | Cycle: 매일
586: 밤고개자연시장(구 내덕자연시장) | Type: 상설장 | Addr: 충청북도 청주시 청원구 공항로 58번길 14 | Lat/Lon: 36.66241616,127.4886473 | Cycle: 매일
599: 양동복개상가 | Type: 상설장 | Addr: 광주광역시 서구 천변좌로 243 | Lat/Lon: 35.15359895,126.903926 | Cycle: 매일
610: 화봉시장(화봉종합시장) | Type: 상설장 | Addr: 울산광역시 북구 상방로 94 | Lat/Lon: 35.5888166,129.3658234 | Cycle: 매일
619: 덕하시장(덕하공설시장) | Type: 상설장 | Addr: 울산광역시 울주군 청량읍 덕하장터길 9 | Lat/Lon: 35.49170116,129.3059222 | Cycle: 2일+7일
625: 성남프라자 | Type: 상설장 | Addr: 울산광역시 중구 중앙3길 6 | Lat/Lon: 35.55451452,129.3175561 | Cycle: 매일
626: 웰컴시티 | Type: 상설장 | Addr: 울산광역시 중구 젊음의2거리 29 | Lat/Lon: 35.5532821,129.319792 | Cycle: 매일
631: 자유상가 | Type: 상설장 | Addr: 서울특별시 중구 남대문로 36 | Lat/Lon: 37.56095891,126.9797744 | Cycle: 매일
632: 아트프라자 | Type: 상설장 | Addr: 서울특별시 중구 마장로1길 28 | Lat/Lon: 37.56918604,127.0128249 | Cycle: 매일
634: 중랑동부시장(동부골목시장) | Type: 상설장 | Addr: 서울특별시 중랑구 동일로109길 31-5 | Lat/Lon: 37.59150529,127.0784896 | Cycle: 매일
640: 중랑교종합상가 | Type: 상설장 | Addr: 서울특별시 중랑구 망우로 32길 23 | Lat/Lon: 37.59294778,127.077121 | Cycle: 매일
641: 동성타워프라자 | Type: 상설장 | Addr: 서울특별시 중랑구 봉화산로 221 | Lat/Lon: 37.60804247,127.0972055 | Cycle: 매일
642: 신아타운 | Type: 상설장 | Addr: 서울특별시 중랑구 봉화산로 194 | Lat/Lon: 37.60645884,127.0947115 | Cycle: 매일
643: 태능엔터피아 | Type: 상설장 | Addr: 서울특별시 중랑구 동일로129길 35 | Lat/Lon: 37.59926352,127.0775053 | Cycle: 매일
647: 1913송정역시장(송정역전매일시장) | Type: 상설장 | Addr: 광주광역시 광산구 송정로 8번길 33 | Lat/Lon: 35.13555958,126.7915346 | Cycle: 매일
649: 울산산업공구월드 | Type: 상설장 | Addr: 울산광역시 남구 갈밭로 24 | Lat/Lon: 35.53578321,129.342636 | Cycle: 매일
650: (주)신정시장 | Type: 상설장 | Addr: 울산광역시 남구 월평로47번길 7 | Lat/Lon: 35.54233666,129.310282 | Cycle: 매일
658: 한일상가 | Type: 상설장 | Addr: 서울특별시 종로구 청계천로 229 | Lat/Lon: 37.57013275,127.0030223 | Cycle: 매일
661: 동대문종합시장 신관(동대문쇼핑타운) | Type: 상설장 | Addr: 서울특별시 종로구 종로 272 | Lat/Lon: 37.57081727,127.0080936 | Cycle: 매일
665: 숭례문수입상가 | Type: 상설장 | Addr: 서울특별시 중구 소월로 3 | Lat/Lon: 37.5593725,126.9762097 | Cycle: 매일
666: 삼익패션타운 | Type: 상설장 | Addr: 서울특별시 중구 남대문시장8길 7 | Lat/Lon: 37.56043619,126.9789484 | Cycle: 매일
